,price,rooms,area,location1,market,households_qty_per_location,rooms_per_households_qty,market_per_households_qty
1233,725000.0,2,50.0,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
1234,529000.0,3,44.0,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1235,729000.0,3,56.6,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1236,590000.0,2,57.47,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1237,958296.0,4,74.3,Śródmieście,primary,804,0.4975124378109453,0.4092039800995025
1238,631350.0,2,51.75,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
1239,726567.0,3,61.77,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1240,699000.0,3,66.16,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1241,849000.0,3,64.0,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1242,920000.0,4,75.5,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
1243,562141.0,3,51.62,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1244,970000.0,3,69.33,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1245,569995.0,3,49.9,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1246,601674.0,4,59.43,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
1247,523500.0,2,31.49,Śródmieście,primary,804,0.24875621890547264,0.4092039800995025
1248,689000.0,2,53.0,Śródmieście,primary,804,0.24875621890547264,0.4092039800995025
1249,699622.0,2,59.0,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
1250,779946.0,2,42.62,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
1251,880158.0,4,86.29,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
1252,419939.0,1,39.1,Krzyki,primary,1802,0.05549389567147614,0.5477247502774695
1253,759590.0,3,83.79,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1254,990000.0,1,30.0,Stare Miasto,secondary,1133,0.088261253309797,0.5710503089143866
1255,535000.0,2,47.9,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1256,569000.0,2,39.36,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
1257,720000.0,2,50.0,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
1258,581698.0,3,51.5,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1259,799000.0,5,74.0,Śródmieście,secondary,804,0.6218905472636816,0.4092039800995025
1260,896040.0,3,68.4,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1261,445000.0,2,36.1,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1262,669000.0,3,52.69,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1263,816001.0,3,65.02,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1264,760000.0,3,64.0,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1265,622250.0,2,47.5,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1266,499000.0,3,45.0,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1267,886048.0,2,44.94,Śródmieście,primary,804,0.24875621890547264,0.4092039800995025
1268,889000.0,4,72.93,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1269,862400.0,4,88.0,Krzyki,secondary,1802,0.22197558268590456,0.5477247502774695
1270,729000.0,3,60.3,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1271,560000.0,2,51.46,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1272,434800.0,3,56.0,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1273,649000.0,2,36.93,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
1274,750783.0,3,59.8,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
1275,549263.0,1,32.75,Krzyki,primary,1802,0.05549389567147614,0.5477247502774695
