,price,rooms,area,location1,market
248,719741.0,3,64.32,Psie Pole,primary
249,519000.0,2,36.0,Krzyki,secondary
250,447000.0,2,42.13,Krzyki,secondary
251,610000.0,2,46.05,Krzyki,secondary
252,685335.0,3,65.27,Fabryczna,primary
253,499000.0,2,35.0,Stare Miasto,secondary
254,492900.0,2,41.73,Fabryczna,primary
255,700000.0,3,70.5,Fabryczna,secondary
256,614443.0,3,54.91,Psie Pole,primary
257,553336.0,3,67.48,Krzyki,primary
258,541725.0,1,35.43,Stare Miasto,primary
259,488960.0,2,38.2,Psie Pole,primary
260,364999.0,1,30.89,Psie Pole,primary
261,693515.0,2,39.8,Śródmieście,primary
262,730000.0,2,69.0,Śródmieście,secondary
263,667000.0,3,59.9,Krzyki,primary
264,504595.0,2,37.6,Fabryczna,primary
265,750000.0,5,85.0,Psie Pole,secondary
266,524000.0,2,37.45,Krzyki,secondary
267,499000.0,2,48.0,Fabryczna,secondary
268,475000.0,1,35.0,Krzyki,secondary
269,498000.0,1,34.5,Krzyki,primary
270,792120.0,4,64.4,Fabryczna,primary
271,538208.0,4,61.5,Krzyki,primary
272,889000.0,4,77.06,Psie Pole,primary
273,689000.0,3,57.47,Psie Pole,primary
274,950000.0,4,62.6,Stare Miasto,secondary
275,849225.0,4,67.0,Krzyki,primary
276,1082528.0,4,92.13,Krzyki,primary
277,625131.0,2,46.0,Stare Miasto,secondary
278,635000.0,2,45.0,Krzyki,secondary
279,790000.0,3,91.1,Śródmieście,secondary
280,836880.0,3,63.4,Śródmieście,primary
281,629000.0,3,63.17,Krzyki,secondary
282,797500.0,3,54.84,Psie Pole,secondary
283,799000.0,2,40.25,Śródmieście,secondary
284,649000.0,3,60.0,Stare Miasto,secondary
285,889236.0,2,53.92,Stare Miasto,primary
286,624000.0,3,73.5,Śródmieście,secondary
287,587854.0,2,47.83,Fabryczna,primary
288,699000.0,3,66.0,Psie Pole,primary
289,630000.0,3,58.85,Psie Pole,secondary
290,593000.0,3,62.51,Śródmieście,secondary
291,648900.0,2,50.0,Stare Miasto,secondary
292,634900.0,3,71.8,Fabryczna,primary
293,399000.0,2,36.0,Psie Pole,secondary
294,550000.0,2,40.77,Śródmieście,secondary
295,578500.0,3,52.6,Krzyki,secondary
296,683534.0,3,51.01,Fabryczna,primary
297,355000.0,1,29.38,Śródmieście,secondary
298,584192.0,2,45.64,Psie Pole,primary
299,606294.0,3,60.61,Fabryczna,primary
300,661711.0,3,61.9,Krzyki,primary
301,844480.0,3,52.78,Krzyki,primary
302,970000.0,3,68.15,Krzyki,secondary
303,589999.0,2,51.4,Krzyki,secondary
304,790983.0,3,53.9,Śródmieście,primary
305,724270.0,4,72.5,Psie Pole,primary
306,498000.0,2,46.11,Fabryczna,secondary
307,530000.0,2,54.81,Śródmieście,secondary
308,730092.0,2,55.31,Fabryczna,primary
309,674560.0,2,48.02,Psie Pole,primary
310,599605.0,3,48.0,Krzyki,primary
311,475000.0,2,41.0,Krzyki,secondary
312,463000.0,3,47.84,Psie Pole,primary
313,799000.0,2,59.0,Krzyki,secondary
314,610264.0,1,38.64,Stare Miasto,primary
315,867000.0,4,77.3,Stare Miasto,primary
316,655000.0,3,60.0,Krzyki,primary
317,1149900.0,5,84.0,Stare Miasto,secondary
318,665150.0,3,53.0,Krzyki,primary
319,698999.0,2,47.39,Stare Miasto,secondary
320,867840.0,3,51.2,Śródmieście,primary
321,839489.0,3,68.71,Stare Miasto,primary
322,1188034.0,2,56.6,Krzyki,secondary
323,657552.0,3,57.98,Psie Pole,primary
324,549000.0,2,44.08,Psie Pole,primary
325,1120000.0,2,44.0,Śródmieście,secondary
326,611688.0,2,36.41,Krzyki,primary
327,878900.0,4,95.91,Fabryczna,primary
328,832000.0,3,71.0,Stare Miasto,primary
329,486000.0,2,37.0,Krzyki,primary
330,578775.0,2,42.4,Krzyki,primary
331,647000.0,2,49.0,Psie Pole,secondary
332,720000.0,3,57.03,Fabryczna,secondary
333,638231.0,3,58.11,Psie Pole,primary
334,588720.0,2,44.6,Śródmieście,primary
335,585234.0,2,50.02,Fabryczna,primary
336,474900.0,2,45.32,Fabryczna,primary
337,634000.0,2,52.1,Fabryczna,secondary
338,737699.0,3,58.3,Stare Miasto,primary
339,862000.0,4,79.7,Śródmieście,primary
340,838440.0,2,38.55,Stare Miasto,primary
341,610000.0,2,38.64,Stare Miasto,primary
342,699600.0,2,53.0,Śródmieście,primary
343,435000.0,2,33.0,Krzyki,secondary
344,774894.0,3,73.87,Fabryczna,primary
345,597442.0,2,45.09,Fabryczna,primary
346,525003.0,2,37.77,Psie Pole,secondary
347,755000.0,3,63.0,Stare Miasto,primary
348,722469.0,3,57.43,Krzyki,primary
349,580000.0,2,42.0,Fabryczna,secondary
350,1150000.0,5,75.59,Śródmieście,secondary
351,482395.0,2,35.4,Fabryczna,primary
352,357816.0,2,35.08,Krzyki,primary
353,499000.0,3,44.44,Krzyki,secondary
354,907000.0,3,55.5,Śródmieście,primary
355,596000.0,2,47.2,Krzyki,secondary
356,965640.0,4,80.47,Krzyki,primary
357,563000.0,2,47.2,Psie Pole,primary
358,869860.0,4,71.3,Śródmieście,primary
