,url,price,price_m2,rooms,area,location1,location2,market
31,https://www.otodom.pl/pl/oferta/sloneczne-4pok-mieszkanie-z-czterema-balkonami-ID4ngvx,1095000.0,12070.0,4,90.72,Krzyki,Ołtaszyn,secondary
32,https://www.otodom.pl/pl/oferta/dwa-balkony-tramwaj-klucze-niebawem-ID4nol6,819000.0,11535.0,3,71.0,Stare Miasto,Szczepin,primary
33,https://www.otodom.pl/pl/oferta/okolice-ul-brazowej-comiejskie-inwestycja-ID4n5JQ,580000.0,9290.0,3,62.43,Fabryczna,Gajowice,secondary
34,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-z-pieknym-widokiem-ID4mUpE,795000.0,12698.0,3,62.61,Fabryczna,Muchobór Wielki,secondary
35,https://www.otodom.pl/pl/oferta/armii-krajowej-etap-i-mieszkanie-a-3-m8-ID4jH64,772328.0,11950.0,3,64.63,Krzyki,Tarnogaj,primary
36,https://www.otodom.pl/pl/oferta/wyjatkowe-4pokoje-taras-2-garderoby-centrum-ID4nvvU,1320690.0,13300.0,4,99.3,Śródmieście,Ołbin,primary
37,https://www.otodom.pl/pl/oferta/okolice-gdanskiej-loggia-piwnica-ID4nusV,595000.0,12396.0,2,48.0,Śródmieście,Ołbin,secondary
38,https://www.otodom.pl/pl/oferta/apartament-z-sauna-i-bilardem-na-wroclawskim-rynku-ID4mtSV,1175000.0,11603.0,5,101.27,Stare Miasto,Stare Miasto,secondary
39,https://www.otodom.pl/pl/oferta/rodzynek-perelka-i-unikat-w-1-ID4luvQ,2400000.0,13319.0,5,180.19,Krzyki,Powstańców Śląskich,secondary
40,https://www.otodom.pl/pl/oferta/mieszkanie-centrum-41-78-ul-mosiezna-ID4naF4,499000.0,11944.0,2,41.78,Fabryczna,Gajowice,secondary
41,https://www.otodom.pl/pl/oferta/folwark-na-wojszycach-kawalerka-39-m2-ID4nm2j,450915.0,11562.0,1,39.0,Krzyki,Wojszyce,primary
42,https://www.otodom.pl/pl/oferta/przestronne-2m-balkon-i-park-szczytnickigotowe-ID4nkOM,666400.0,11900.0,2,56.0,Śródmieście,Szczytniki,secondary
43,https://www.otodom.pl/pl/oferta/swietne-mieszkanie-2-pokojowe-59m2-wroclaw-ID4nAp8,649000.0,11000.0,2,59.0,Stare Miasto,Przedmieście Świdnickie,secondary
44,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-78m2-balkon-bez-prowizji-ID4luFU,1039131.0,13157.0,4,78.98,Stare Miasto,Szczepin,primary
45,https://www.otodom.pl/pl/oferta/narozne-spokojna-okolica-dobry-dojazd-nie-czekaj-ID4nhqf,537509.0,8976.0,4,59.88,Krzyki,Brochów,primary
46,https://www.otodom.pl/pl/oferta/klimatyzowane-3-pokoje-na-spokojnym-osiedlu-ID4n6pX,869000.0,10585.0,3,82.1,Fabryczna,Gądów,secondary
47,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-ID4iipa,754290.0,19918.0,2,37.87,Stare Miasto,Przedmieście Świdnickie,primary
48,https://www.otodom.pl/pl/oferta/promocja-najlepszacena-bezpieczny-kredyt-2-hit-ID4nvOI,310000.0,8424.0,2,36.8,Krzyki,Bieńkowice,primary
